,給与所得,事業所得,年金所得,その他
2004年4月,45.7,44.7,44.6,42.6
2004年5月,48.6,47.8,48.2,46.3
2004年6月,45.6,44.8,44.5,43.1
2004年7月,49.1,48.0,48.5,46.7
2004年8月,49.7,48.1,49.0,46.8
2004年9月,46.4,46.1,46.0,44.0
2004年10月,48.0,47.4,47.6,44.9
2004年11月,48.2,47.8,47.5,45.9
2004年12月,45.0,43.2,43.8,43.4
2005年1月,47.9,46.8,47.0,46.0
2005年2月,48.2,46.6,47.2,46.2
2005年3月,45.7,44.6,45.0,45.0
2005年4月,48.2,46.1,46.8,46.3
2005年5月,49.0,46.7,47.6,47.7
2005年6月,47.2,45.9,46.4,45.8
2005年7月,48.6,47.2,48.0,47.1
2005年8月,48.8,47.7,48.2,46.9
2005年9月,45.9,45.3,45.5,44.5
2005年10月,48.4,46.9,47.5,47.5
2005年11月,48.5,47.9,47.8,48.1
2005年12月,47.0,46.5,46.0,47.9
2006年1月,50.0,49.3,48.7,50.0
2006年2月,50.4,49.4,49.1,49.5
2006年3月,48.6,48.1,47.6,47.6
2006年4月,50.8,49.8,49.2,49.6
2006年5月,50.5,49.9,48.8,49.1
2006年6月,48.3,47.1,46.1,44.1
2006年7月,49.7,49.0,47.0,45.9
2006年8月,49.0,47.7,45.9,46.9
2006年9月,47.6,46.3,45.1,45.8
2006年10月,49.3,47.9,47.4,46.9
2006年11月,49.9,48.5,47.5,47.5
2006年12月,47.5,45.0,45.0,45.5
2007年1月,49.5,47.6,47.3,47.2
2007年2月,49.8,48.2,47.1,47.1
2007年3月,48.1,46.2,46.2,46.2
2007年4月,48.6,46.5,46.5,47.1
2007年5月,48.3,46.8,46.6,46.7
2007年6月,46.3,44.0,44.4,43.4
2007年7月,45.5,43.5,43.6,43.3
2007年8月,45.3,42.7,43.0,41.4
2007年9月,45.3,42.9,43.0,41.2
2007年10月,44.0,41.7,41.7,41.8
2007年11月,41.1,38.5,39.2,38.7
2007年12月,39.7,36.3,37.1,36.8
2008年1月,39.5,36.0,36.3,35.7
2008年2月,37.9,35.0,34.8,35.2
2008年3月,38.9,34.6,35.0,35.6
2008年4月,37.6,33.5,32.7,33.4
2008年5月,36.2,32.0,31.7,32.2
2008年6月,34.5,31.4,31.1,31.4
2008年7月,33.3,30.1,29.9,30.3
2008年8月,32.2,27.7,29.0,29.6
2008年9月,33.3,30.0,30.3,31.2
2008年10月,31.2,27.4,28.5,30.0
2008年11月,30.1,26.1,27.2,29.8
2008年12月,27.2,24.0,26.4,28.9
2009年1月,27.1,24.7,27.3,28.7
2009年2月,27.6,25.9,27.8,30.7
2009年3月,29.4,28.5,30.2,30.2
2009年4月,33.0,32.2,33.8,32.5
2009年5月,36.0,35.7,37.1,36.2
2009年6月,37.6,37.7,39.2,36.7
2009年7月,39.1,38.0,41.2,39.4
2009年8月,40.3,38.1,41.3,39.8
2009年9月,40.5,38.4,41.7,41.9
2009年10月,40.3,39.0,42.0,41.0
2009年11月,39.4,37.9,41.1,42.1
2009年12月,37.5,35.1,39.6,38.1
2010年1月,39.1,36.0,40.8,39.0
2010年2月,39.8,36.6,41.3,40.6
2010年3月,41.1,37.8,42.0,41.4
2010年4月,42.1,39.6,42.9,41.0
2010年5月,42.8,40.9,43.3,42.3
2010年6月,43.8,41.3,43.9,43.0
2010年7月,43.4,41.6,44.0,42.5
2010年8月,42.2,41.3,43.2,42.5
2010年9月,41.3,39.5,41.9,41.9
2010年10月,41.0,39.1,41.9,39.4
2010年11月,40.7,38.6,41.1,39.7
2010年12月,40.4,38.6,40.5,39.8
2011年1月,41.8,39.8,40.7,40.4
2011年2月,41.4,38.6,40.5,40.1
2011年3月,38.9,35.8,38.4,37.0
2011年4月,34.1,30.1,34.1,32.7
2011年5月,35.7,32.1,35.3,33.7
2011年6月,37.0,34.8,36.3,34.0
2011年7月,38.4,36.2,37.4,35.5
2011年8月,38.4,35.8,36.8,36.4
2011年9月,39.7,36.2,38.1,35.0
2011年10月,39.5,36.9,38.0,35.4
2011年11月,38.4,35.4,37.5,38.0
2011年12月,39.0,35.9,37.7,36.5
2012年1月,40.6,37.7,38.5,38.2
2012年2月,40.0,37.7,38.5,38.4
2012年3月,40.6,38.6,39.8,39.7
2012年4月,41.1,38.7,40.0,38.4
2012年5月,41.3,39.3,40.4,38.9
2012年6月,41.7,39.4,40.3,39.0
2012年7月,41.3,39.6,40.0,40.8
2012年8月,41.2,39.3,40.3,40.9
2012年9月,41.2,39.9,39.6,40.4
2012年10月,40.6,38.5,39.3,39.1
2012年11月,39.8,38.1,38.4,38.3
2012年12月,39.8,37.7,38.7,38.4
2013年1月,43.8,43.2,42.6,43.8
2013年2月,44.9,44.9,43.3,43.2
2013年3月,45.8,45.9,44.0,42.9
2013年4月,45.3,45.9,43.2,42.2
2013年5月,46.7,47.0,44.2,42.9
2013年6月,45.6,45.4,42.7,42.1
2013年7月,44.8,45.8,42.0,41.9
2013年8月,44.2,44.9,41.6,39.1
2013年9月,46.6,46.7,43.5,42.1
2013年10月,42.7,42.5,37.8,38.5
2013年11月,43.0,42.3,39.3,40.5
2013年12月,42.2,40.2,37.6,39.2
2014年1月,41.6,41.0,37.3,39.0
2014年2月,39.4,38.2,35.4,37.2
2014年3月,38.8,36.6,34.8,35.9
2014年4月,38.9,36.8,34.0,34.9
2014年5月,41.5,39.1,36.9,37.3
2014年6月,42.9,41.1,37.9,38.7
2014年7月,43.1,41.2,39.0,39.0
2014年8月,42.7,40.4,38.4,37.8
2014年9月,41.6,38.4,38.0,37.4
2014年10月,40.3,37.0,35.8,33.9
2014年11月,38.9,35.5,34.8,33.9
2014年12月,39.5,36.3,35.8,35.2
2015年1月,40.8,37.4,36.3,35.2
2015年2月,41.7,38.6,38.3,36.9
2015年3月,42.7,41.3,39.7,38.5
2015年4月,43.1,41.6,39.1,39.0
2015年5月,43.3,40.7,39.8,39.5
2015年6月,43.5,40.9,40.5,39.2
2015年7月,42.2,40.0,38.9,38.4
2015年8月,43.2,41.8,40.2,39.4
2015年9月,42.1,39.6,38.9,38.5
2015年10月,42.3,39.9,39.3,38.9
2015年11月,42.6,41.6,40.2,40.0
2015年12月,42.5,41.5,40.1,40.5
2016年1月,42.9,42.3,40.4,41.3
2016年2月,40.9,40.1,37.6,37.7
2016年3月,42.6,41.7,39.9,38.5
2016年4月,41.7,41.8,38.6,36.1
2016年5月,42.4,41.9,39.4,35.4
2016年6月,43.3,41.8,41.3,37.2
2016年7月,42.4,41.1,40.3,37.7
2016年8月,43.6,42.7,41.2,37.2
2016年9月,43.7,42.6,41.8,39.0
2016年10月,42.9,42.1,40.6,38.7
2016年11月,41.5,40.1,39.3,36.4
2016年12月,43.8,41.8,41.0,40.6
2017年1月,44.0,42.4,41.6,39.4
2017年2月,43.6,42.4,41.2,39.3
2017年3月,45.1,42.7,43.3,40.9
2017年4月,44.3,42.2,41.2,40.9
2017年5月,44.7,42.7,42.5,40.9
2017年6月,44.7,43.9,42.1,42.7
2017年7月,45.1,44.0,42.3,42.8
2017年8月,44.8,43.9,41.9,42.0
2017年9月,45.0,43.5,42.8,42.6
2017年10月,44.9,44.4,42.5,42.9
2017年11月,45.0,44.2,42.9,42.6
2017年12月,45.5,43.6,42.4,43.4
2018年1月,45.7,43.9,42.7,43.1
2018年2月,45.1,43.0,42.1,42.3
2018年3月,45.7,43.8,42.0,43.4
2018年4月,44.9,42.1,41.1,41.3
2018年5月,45.5,43.2,42.0,42.9
2018年6月,45.4,42.9,42.2,43.0
2018年7月,45.0,43.8,41.2,41.2
2018年8月,45.0,43.2,41.0,43.0
2018年9月,44.9,43.1,41.1,42.1
2018年10月,44.3,41.6,40.8,40.9
2018年11月,44.0,42.1,40.1,40.9
2018年12月,44.0,41.6,40.1,39.7
2019年1月,43.5,40.9,40.1,39.5
2019年2月,42.7,39.3,39.2,37.6
2019年3月,42.2,39.4,38.4,39.5
2019年4月,41.9,38.9,37.8,37.2
2019年5月,41.2,38.7,37.3,38.6
2019年6月,40.3,37.9,37.0,37.4
2019年7月,39.3,37.9,35.8,36.9
2019年8月,38.7,36.7,35.4,36.1
2019年9月,37.0,35.5,34.3,34.0
2019年10月,37.5,35.5,34.9,34.7
2019年11月,40.0,38.1,37.1,35.8
2019年12月,40.6,38.7,37.2,36.3
2020年1月,40.9,38.4,37.7,36.4
2020年2月,39.8,37.1,36.7,36.1
2020年3月,31.8,27.6,31.4,29.4