transportation_type,driving,transit,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,97.94,99.33,96.07
2020-01-15,99.14,101.16,102.01
2020-01-16,103.16,107.02,108.67
2020-01-17,123.15,128.61,135.81
2020-01-18,130.54,131.7,148.78
2020-01-19,104.44,104.9,105.94
2020-01-20,100.01,102.13,101.99
2020-01-21,99.73,102.41,103.65
2020-01-22,99.02,101.15,97.98
2020-01-23,102.76,105.97,108.94
2020-01-24,129.78,131.96,147.47
2020-01-25,131.34,132.99,148.88
2020-01-26,101.47,101.53,99.96
2020-01-27,94.7,96.58,90.56
2020-01-28,99.11,100.7,103.86
2020-01-29,101.33,102.45,110.98
2020-01-30,101.75,103.5,109.17
2020-01-31,128.05,129.82,145.33
2020-02-01,132.95,131.35,148.04
2020-02-02,106.91,109.27,115.13
2020-02-03,103.28,106.53,113.98
2020-02-04,103.66,108.0,116.67
2020-02-05,103.12,105.15,109.4
2020-02-06,105.07,108.17,111.67
2020-02-07,132.39,132.29,143.57
2020-02-08,148.54,155.72,154.39
2020-02-09,120.49,120.26,121.72
2020-02-10,128.3,127.42,138.39
2020-02-11,112.01,113.31,119.7
2020-02-12,109.2,112.26,121.38
2020-02-13,110.99,114.08,124.99
2020-02-14,134.71,133.01,150.75
2020-02-15,131.54,128.41,138.76
2020-02-16,114.42,114.64,119.97
2020-02-17,111.43,112.88,122.2
2020-02-18,111.19,112.02,122.62
2020-02-19,112.58,112.54,124.25
2020-02-20,116.79,116.33,127.0
2020-02-21,140.56,134.17,145.9
2020-02-22,161.69,146.81,163.51
2020-02-23,142.83,130.41,145.52
2020-02-24,116.21,112.61,121.18
2020-02-25,107.01,104.56,112.83
2020-02-26,107.46,102.38,111.53
2020-02-27,103.29,97.64,104.84
2020-02-28,112.22,102.82,112.22
2020-02-29,114.58,104.61,116.77
2020-03-01,103.92,98.18,101.49
2020-03-02,105.91,100.79,113.27
2020-03-03,103.24,97.95,103.49
2020-03-04,106.01,100.36,109.96
2020-03-05,110.8,104.22,117.33
2020-03-06,122.87,109.49,121.2
2020-03-07,115.69,101.58,102.85
2020-03-08,113.65,106.0,118.47
2020-03-09,108.76,102.41,108.01
2020-03-10,116.12,109.49,126.08
2020-03-11,117.83,111.98,132.61
2020-03-12,115.47,110.47,130.25
2020-03-13,123.4,108.61,112.95
2020-03-14,133.14,113.41,124.7
2020-03-15,120.19,110.5,122.39
2020-03-16,119.97,112.5,129.51
2020-03-17,123.25,115.65,136.79
2020-03-18,127.56,118.04,138.72
2020-03-19,152.83,127.64,142.88
2020-03-20,161.59,131.95,149.4
2020-03-21,148.75,123.18,140.39
2020-03-22,127.72,116.13,133.79
2020-03-23,124.82,116.35,134.98
2020-03-24,128.24,118.84,141.1
2020-03-25,128.82,117.95,142.0
2020-03-26,121.43,109.55,123.41
2020-03-27,122.59,102.47,105.55
2020-03-28,111.03,91.71,84.38
2020-03-29,111.53,99.29,105.3
2020-03-30,105.3,95.23,105.72
2020-03-31,97.79,93.59,94.47
2020-04-01,98.41,92.36,98.5
2020-04-02,99.61,91.56,101.04
2020-04-03,107.26,91.22,100.06
2020-04-04,97.79,81.07,82.85
2020-04-05,91.93,82.91,88.32
2020-04-06,87.35,78.3,84.77
2020-04-07,83.74,73.88,79.34
2020-04-08,81.2,70.69,75.52
2020-04-09,79.75,68.03,72.25
2020-04-10,85.41,69.34,75.47
2020-04-11,69.08,56.65,56.71
2020-04-12,67.85,57.7,46.81
2020-04-13,74.14,61.63,63.73
2020-04-14,78.43,64.82,72.88
2020-04-15,77.49,63.57,70.81
2020-04-16,73.73,60.27,64.34
2020-04-17,67.08,53.55,47.9
2020-04-18,72.91,58.82,71.4
2020-04-19,67.95,55.07,52.6
2020-04-20,70.73,58.05,63.57
2020-04-21,70.45,57.19,62.52
2020-04-22,69.58,55.69,60.37
2020-04-23,70.42,56.41,60.29
2020-04-24,74.9,59.08,68.62
2020-04-25,67.8,54.49,65.01
2020-04-26,68.85,55.12,57.34
2020-04-27,70.05,55.81,58.12
2020-04-28,69.1,56.2,69.03
2020-04-29,73.08,58.62,69.07
2020-04-30,75.34,60.87,70.43
2020-05-01,78.43,62.19,74.47
2020-05-02,72.08,57.57,69.19
2020-05-03,69.96,55.51,61.93
2020-05-04,76.4,60.04,71.02