時間軸（月次）,15歳以上人口,労働力人口,就業者,雇用者,役員を除く雇用者,正規の職員・従業員,非労働力人口,非正規の職員・従業員,完全失業者,その他
2013年1月,11090,6502,6228,5502,5168,3336,4583,1823,273,83
2013年2月,11086,6519,6242,5515,5174,3273,4561,1900,277,90
2013年3月,11086,6526,6246,5485,5142,3255,4554,1887,280,82
2013年4月,11083,6603,6312,5530,5181,3328,4477,1852,291,78
2013年5月,11087,6619,6340,5554,5213,3323,4461,1891,279,85
2013年6月,11090,6593,6333,5571,5226,3326,4488,1900,260,89
2013年7月,11088,6566,6311,5547,5193,3313,4517,1879,255,81
2013年8月,11086,6581,6310,5562,5216,3309,4499,1906,271,81
2013年9月,11091,6617,6359,5575,5232,3291,4470,1940,258,73
2013年10月,11091,6629,6366,5596,5256,3291,4458,1964,263,77
2013年11月,11089,6620,6371,5619,5274,3310,4466,1964,249,78
2013年12月,11085,6544,6319,5583,5240,3273,4539,1967,225,86
2014年1月,11084,6501,6262,5548,5198,3242,4579,1956,238,83
2014年2月,11079,6516,6283,5544,5208,3219,4558,1989,232,91
2014年3月,11081,6544,6298,5541,5198,3233,4529,1964,246,87
2014年4月,11079,6592,6338,5549,5198,3288,4478,1909,254,84
2014年5月,11082,6640,6398,5592,5246,3324,4435,1921,242,84
2014年6月,11081,6634,6389,5617,5260,3324,4441,1936,245,89
2014年7月,11085,6604,6357,5600,5247,3307,4474,1939,248,89
2014年8月,11079,6595,6363,5600,5253,3305,4479,1948,231,88
2014年9月,11084,6635,6402,5636,5298,3327,4444,1970,233,91
2014年10月,11085,6623,6390,5629,5279,3298,4454,1980,233,80
2014年11月,11085,6590,6371,5637,5294,3281,4489,2012,219,84
2014年12月,11080,6567,6357,5645,5308,3291,4508,2016,210,82
2015年1月,11077,6540,6309,5611,5263,3273,4531,1989,231,87
2015年2月,11074,6548,6322,5595,5252,3277,4520,1974,226,85
2015年3月,11074,6547,6319,5580,5245,3271,4521,1973,228,87
2015年4月,11073,6576,6342,5578,5233,3294,4491,1939,234,88
2015年5月,11076,6624,6400,5624,5281,3331,4443,1949,224,85
2015年6月,11081,6648,6425,5665,5315,3345,4426,1970,224,90
2015年7月,11076,6603,6381,5632,5293,3336,4466,1956,222,82
2015年8月,11075,6603,6379,5639,5302,3329,4462,1972,225,85
2015年9月,11080,6665,6439,5687,5335,3348,4408,1986,227,86
2015年10月,11082,6640,6432,5704,5328,3331,4437,1997,208,76
2015年11月,11082,6588,6379,5676,5310,3300,4487,2010,209,75
2015年12月,11077,6588,6385,5694,5355,3316,4482,2038,204,76
2016年1月,11078,6610,6399,5712,5366,3329,4465,2037,211,80
2016年2月,11070,6564,6351,5684,5342,3333,4502,2008,213,73
2016年3月,11075,6555,6339,5649,5313,3338,4516,1975,216,73
2016年4月,11074,6621,6396,5679,5338,3375,4445,1962,224,70
2016年5月,11076,6662,6446,5718,5366,3376,4409,1990,216,80
2016年6月,11079,6707,6497,5740,5393,3376,4366,2016,210,84
2016年7月,11081,6682,6479,5721,5382,3357,4391,2025,203,83
2016年8月,11077,6677,6465,5722,5382,3353,4393,2028,212,93
2016年9月,11080,6701,6497,5771,5419,3396,4370,2023,204,89
2016年10月,11083,6690,6495,5793,5433,3405,4386,2028,195,89
2016年11月,11083,6649,6452,5758,5391,3356,4427,2034,197,78
2016年12月,11077,6658,6466,5798,5443,3379,4411,2064,193,76
2017年1月,11110,6667,6470,5793,5455,3407,4438,2047,197,78
2017年2月,11105,6615,6427,5754,5402,3397,4485,2005,188,82
2017年3月,11107,6621,6433,5728,5375,3376,4479,1998,188,73
2017年4月,11104,6697,6500,5757,5404,3400,4397,2004,197,71
2017年5月,11107,6757,6547,5796,5441,3437,4344,2003,210,77
2017年6月,11108,6775,6583,5848,5505,3457,4323,2046,192,79
2017年7月,11111,6754,6563,5839,5497,3429,4351,2068,191,82
2017年8月,11106,6762,6573,5840,5476,3421,4338,2054,189,78
2017年9月,11112,6786,6596,5866,5511,3483,4321,2028,190,71
2017年10月,11114,6762,6581,5877,5525,3485,4345,2041,181,81
2017年11月,11113,6730,6552,5865,5518,3456,4376,2061,178,78
2017年12月,11103,6716,6542,5863,5522,3441,4380,2081,174,80
2018年1月,11102,6722,6562,5880,5566,3447,4372,2119,159,77
2018年2月,11100,6744,6578,5875,5551,3430,4347,2120,166,78
2018年3月,11100,6793,6620,5872,5528,3417,4296,2111,173,80
2018年4月,11098,6851,6671,5916,5572,3467,4238,2104,180,80
2018年5月,11103,6856,6698,5931,5590,3511,4235,2079,158,80
2018年6月,11110,6855,6687,5940,5603,3501,4246,2102,168,81
2018年7月,11102,6832,6660,5953,5626,3522,4262,2103,172,76
2018年8月,11098,6852,6682,5953,5622,3515,4236,2108,170,78
2018年9月,11102,6877,6715,5966,5634,3490,4218,2143,162,78
2018年10月,11104,6888,6725,5996,5678,3522,4211,2156,163,76
2018年11月,11103,6877,6709,5983,5661,3519,4221,2142,168,84
2018年12月,11093,6815,6656,5963,5634,3478,4271,2156,159,93
2019年1月,11097,6793,6628,5953,5628,3474,4294,2154,166,88
2019年2月,11088,6812,6656,5962,5643,3486,4267,2157,156,88
2019年3月,11090,6861,6687,5948,5616,3439,4218,2176,174,77
2019年4月,11089,6884,6708,5959,5616,3500,4195,2116,176,84
2019年5月,11093,6898,6732,5993,5641,3535,4184,2106,165,88
2019年6月,11093,6909,6747,6023,5679,3531,4174,2148,162,82
2019年7月,11096,6888,6731,6034,5699,3526,4200,2174,156,87
2019年8月,11091,6908,6751,6025,5688,3497,4177,2190,157,84
2019年9月,11092,6936,6768,6017,5683,3481,4147,2202,168,78
2019年10月,11097,6951,6787,6046,5721,3526,4137,2196,164,87
2019年11月,11097,6913,6762,6046,5712,3526,4175,2186,151,95
2019年12月,11085,6883,6737,6043,5698,3518,4194,2179,145,98
2020年1月,11086,6846,6687,6017,5665,3516,4233,2149,159,89
2020年2月,11083,6850,6691,6026,5688,3530,4225,2159,159,81
2020年3月,11084,6876,6700,6009,5656,3506,4198,2150,176,85
2020年4月,11080,6817,6628,5923,5582,3563,4253,2019,189,86